CreditScore,Age,AnnualIncome,DebtToIncomeRatio,LoanAmount
452,37,160777,0.65,29386
677,26,82471,0.88,2116
641,34,111080,0.21,30299
326,44,75828,0.97,33587
586,64,136884,0.14,18540
467,19,128007,0.1,48947
567,53,66104,0.11,34756
754,36,60934,0.57,44426
700,34,134420,0.78,6587
775,22,26050,0.37,19212
429,56,195024,0.98,16803
662,35,28484,0.43,25256
591,24,82648,0.15,11269
670,34,79945,0.47,7088
328,56,51323,0.68,36113
448,53,106332,0.83,43044
595,57,114605,0.46,28081
310,62,186433,0.59,11543
811,21,30315,0.27,4005
412,55,67968,0.65,38203
486,42,177591,0.99,17220
526,22,29107,0.05,44455
609,47,75781,0.89,33696
397,29,23869,0.56,15147
354,21,100983,0.25,47381
705,41,178442,0.95,48984
368,46,27971,0.48,40396
611,26,116805,0.33,1076
588,21,45651,0.18,39520
847,68,76974,0.24,19946
447,41,43446,0.83,18956
766,31,189180,0.61,24471
543,22,23823,0.91,48762
790,35,164526,0.23,39738
806,59,155004,0.12,41720
664,36,161292,0.01,30137
781,29,87965,0.51,25440
500,35,179280,1,12862
453,34,30510,0.69,36879
749,47,195117,0.31,3737
800,41,161609,0.88,43312
372,28,125935,0.78,22788
595,52,89134,0.02,26522
316,40,92254,0.82,5649
516,34,164854,0.3,4868
360,18,134780,0.15,8824
341,32,145544,0.23,8799
324,49,85587,0.47,20870
338,26,102238,0.42,46147
430,32,95720,0.29,18386
797,45,98004,0.17,9614
528,41,42072,0.76,26147
407,52,101015,0.99,12101
471,39,92746,0.78,41674
734,44,196774,0.3,39127
777,36,122260,0.24,21914
401,62,157129,0.22,10615
823,29,148259,0.14,24053
574,37,50916,0.55,35521
343,18,47268,0.61,14481
316,38,195050,0.71,47898
629,66,43259,0.68,44882
796,62,99400,0.29,11495
311,18,54293,0.33,27282
617,27,131581,0.68,1146
515,64,27043,0.35,41275
638,49,127009,0.21,16977
380,56,58893,0.37,42565
784,39,191714,0.27,42534
673,35,181940,0.09,34945
499,65,46309,0.83,45286
836,63,43284,0.85,37190
765,49,146801,0.22,3594
388,44,133259,0.06,12074
567,45,120804,0.74,28431
788,35,89000,0.21,18148
837,56,104179,0.39,23661
346,66,85049,0.06,28571
587,46,49265,0.23,45160
315,35,43880,0.79,1435
700,61,104579,0.8,37119
385,25,151327,0.21,44937
549,48,152574,0.34,17518
690,51,85424,0.13,29490
634,24,90966,0.07,22002
818,53,192438,0.99,42763
436,35,178497,0.66,3366
797,55,87396,0.54,13367
776,26,91694,0.77,12454
522,26,156878,0.84,10668
671,63,37106,0.81,4415
701,25,76731,0.02,32773
742,68,95010,0.19,11232
789,52,52599,0.65,30039
572,35,91326,0.38,26568
825,22,95706,0.98,38459
458,31,29004,0.67,8669
451,45,135018,0.96,25213
487,47,45792,0.2,19280
397,21,74645,0.86,20449
430,56,27232,0.32,36516
470,37,74766,0.99,24076
482,42,140601,0.16,3661
663,45,101588,0.52,24333
338,29,199614,0.79,23759
826,19,25913,0.43,48941
796,60,132406,0.47,45367
815,31,133693,0.99,39875
648,39,113449,0.43,13698
696,48,30567,0.6,31964
460,40,58379,0.05,32408
315,65,20319,0.84,23885
792,37,110005,0.65,14309
725,55,130990,0.4,36429
407,21,24791,0.02,16133
749,32,151401,0.59,9210
610,41,81032,0.01,37126
469,42,195150,0,34043
845,18,108662,0.62,5078
713,24,41300,0.19,12137
550,48,95700,0.19,30350
440,29,75609,0.65,5698
573,59,110045,0.05,34132
715,22,81901,0.31,11165
338,61,25703,0.15,1794
328,67,83115,0.58,14646
776,59,47676,0.66,24179
617,55,141332,0.72,6870
544,29,196512,0.26,34357
571,56,187995,0.09,31736
739,35,49802,0.08,38081
538,19,110331,0.43,17211
676,27,144786,0.95,22129
565,32,85169,0.22,8377
658,47,88147,0.26,9861
639,61,42075,0.1,18821
688,34,102015,0.61,13952
302,21,29304,0.68,10047
728,24,149851,0.64,27953
441,58,140729,0.86,37801
675,48,79622,0.49,19277
623,68,74215,0.13,24903
445,56,93973,0.29,19226
592,51,128654,0.66,23628
731,23,163593,0.61,17710
698,67,44028,0.53,28802
643,55,59328,0.68,19784
439,62,47301,0.64,5278
486,68,58015,0.88,29677
360,51,56845,0.59,8500
679,61,106818,0.78,5015
739,32,96394,0.25,22836
618,31,195231,0.68,42010
601,23,63714,0.9,8826
643,67,100722,0.39,10201
310,54,45230,0.78,30048
361,67,112554,0.72,20941
525,49,69262,0.06,16105
452,20,61722,0.58,1153
609,20,197431,0.13,42541
542,39,82796,0.97,5886
792,39,191231,0.81,24950
665,27,107052,0.11,3267
629,68,120808,0.12,21642
406,20,156311,0.59,1970
525,29,111951,0.34,42607
517,46,70886,0.03,32288
805,65,123424,0.54,47581
558,34,178267,0.39,18329
816,24,124697,0.1,15450
353,30,116299,0.8,6618
346,19,185746,0.92,35263
820,21,169177,0.76,3047
398,27,180811,0.82,10364
319,56,183041,0.22,29794
789,41,34497,0.26,14091
718,34,152888,0.21,3886
361,69,138915,0.77,22572
444,23,112019,0.95,16161
515,36,129017,0.72,5158
302,22,89385,0.88,28663
459,49,125153,0.64,20845
419,27,53826,0.39,7733
388,26,130034,0.43,35425
628,44,104242,0.08,38811
656,30,143066,0.03,33001
566,36,70100,0.7,40128
622,38,145170,0.44,10329
840,41,155431,0.55,25812
494,55,116205,0.56,28099
631,21,32809,0.28,5043
469,41,84450,0.48,15242
820,52,58428,0.47,34365
762,20,92790,0.39,27278
339,21,131126,0.82,28133
836,54,110321,0.45,25740
560,57,22093,0.6,36092
694,65,64498,0.9,31976
525,52,136251,0.87,41067
423,48,60985,0.89,12231
337,61,52009,0.27,1569
627,42,148515,0.03,4328
550,57,37718,0.26,26261
475,30,36705,0.28,26262
753,21,107618,0.91,4280
336,63,82598,0.65,20147
615,31,97878,0.08,32742
413,30,32239,0.14,4590
339,44,66622,0.16,23006
600,23,66665,0.63,14570
523,34,52274,0.74,35993
617,53,162491,0.86,30593
648,57,128368,0.94,48646
414,66,166075,0.2,24907
622,52,181938,0.31,10533
339,34,173060,0.24,43649
339,58,128563,0.36,17747
588,19,156746,0.91,14366
561,30,113103,0.58,49283
515,69,86446,0.74,11832
446,19,49072,0.49,29325
635,69,53717,0.03,35798
467,45,177723,0.06,40453
391,60,137202,0.54,23849
652,43,195363,0.72,7157
662,39,142389,0.22,47436
644,64,129525,0.72,31178
469,60,24646,0.81,18001
655,20,59713,0.41,30030
490,52,87936,0.75,1193
721,29,195403,0.4,9164
306,41,42185,0.68,21842
432,22,104263,0.76,2119
330,37,72107,0.99,14351
834,56,37563,0.35,7540
725,56,90729,0.41,46162
693,30,35701,0.17,32760
662,58,199289,0.2,27528
736,62,195682,0.69,24538
381,29,148331,0.92,33242
655,30,180482,0.39,48628
557,27,119280,0.18,27358
823,50,58665,0.29,39613
594,57,35957,0.46,41739
523,33,199199,0.29,30738
824,62,66008,0.23,47921
345,52,81920,0.74,24581
412,20,183947,0.01,31136
532,22,133828,0.54,22485
316,43,143852,0.79,28165
659,28,152698,0.27,37294
522,24,110815,0.6,2634
747,27,184714,0.67,44969
664,59,58311,0.66,1093
625,69,52356,0.45,29370
766,51,23809,0.35,20750
713,20,194443,0.84,41484
754,25,54875,0.76,48099
532,48,29465,0.32,17472
523,28,93844,0.1,48009
711,62,106889,0.07,19934
634,24,35250,0.09,44774
521,62,66023,0.58,23521
336,19,121350,0.05,40125
577,23,197696,0.34,2445
495,58,36427,0.75,22005
783,49,184348,0.29,40103
541,37,91643,0.76,19214
623,51,154511,0.75,24169
491,67,98672,0.25,17938
316,33,37300,0.73,12956
823,42,80289,0.75,40687
700,29,168254,0.4,6593
321,24,177981,0.21,27207
773,56,39659,0.52,40921
419,34,182475,0.92,38310
509,62,184658,0.64,49960
605,28,30360,0.17,32619
569,23,41424,0.68,14403
584,40,118035,0.43,14065
526,44,68791,0.59,25394
680,63,154137,0.73,27801
759,23,32300,0.51,43646
306,55,53370,0.81,34596
328,19,47209,0.72,30230
332,39,40927,0.62,8170
378,37,54579,0.15,19406
758,42,29032,0.84,25678
837,32,113254,0.94,30968
781,66,98413,0.14,43517
729,46,191803,0.49,33655
584,25,133528,0.26,28087
815,54,143916,0.75,46984
398,66,92302,0.72,12049
696,69,105757,0.14,7785
788,50,176174,0.88,42766
338,39,185505,0.18,5655
570,67,35932,0.8,19458
456,64,45714,0.46,26102
374,22,77803,0.33,7918
429,56,190815,0.16,4436
383,35,153624,0.17,22432
321,55,76627,0.66,25873
758,54,197059,0.55,38640
838,47,99810,0.12,1360
681,68,65380,0.11,45677
739,48,180322,0.07,5599
320,27,84686,0.74,43936
602,32,140321,0.71,40499
383,59,65028,0.06,35845
752,65,166367,0.56,14750
686,61,133141,0.08,28987
806,35,75248,0.9,38459
556,40,30523,0.91,27165
826,50,65530,0.7,25346
461,33,33769,0.93,4514
462,55,132035,0.81,25838
823,52,195717,0.83,28559
570,51,176629,0.57,36687
791,45,99782,0.31,32965
507,19,98382,0.22,17385
838,47,188157,0.33,19317
359,30,130939,0.63,1393
729,58,164542,0.17,25881
608,33,98712,0.26,47225
819,22,138643,0.47,34297
326,45,127417,0.23,28955
498,56,157877,0.59,45979
686,62,148256,0.92,7495
648,37,121422,0.75,40721
835,41,109300,0.67,22437
677,44,26630,0.58,2713
826,47,144474,0.49,21428
452,62,118869,0.19,1635
505,44,35701,0.89,16193
754,43,165931,0.25,24003
572,24,172255,0.09,15633
535,59,191510,0.75,30228
820,64,117285,0.18,43077
800,55,137556,0.37,27730
416,22,193316,0.03,49546
685,40,35021,0.14,8445
643,45,199115,0.17,46183
694,51,84361,0.05,15281
363,32,152317,0.66,7602
371,49,192083,0.84,1037
573,43,30355,0.37,43592
619,65,118841,0.87,29869
637,48,199764,0.21,37543
665,36,180786,0.33,32076
794,26,37198,0.15,27630
465,46,86951,0.62,21469
843,68,152724,0.42,33299
310,56,194697,0.61,26094
600,21,38740,0.76,27817
401,20,23810,0.55,11555
724,46,143743,0.63,6120
691,69,167641,0.94,15678
513,28,119855,0.3,5715
387,50,46783,0.36,35162
700,55,141701,0.72,36637
345,28,98047,0.61,33322
762,44,29471,0.18,37444
609,50,130771,0.38,37489
385,38,26163,0.47,39458
391,56,82071,0.42,39586
541,48,36065,0.18,34002
301,55,142323,0.92,4140
524,63,137969,0.76,9638
415,19,103456,0.48,46665
402,44,199420,0.68,18383
493,53,39154,0.9,18718
465,28,125703,0.14,42093
389,64,40229,0.25,11624
421,35,72587,0.54,22472
442,18,69713,0.8,22863
405,52,178069,0.04,7090
727,52,41101,0.98,12377
604,48,60391,0.45,18495
616,45,92723,0.36,15870
308,56,186020,0.29,20300
372,18,120264,0.17,3103
658,42,57921,0.79,26195
522,60,48460,0.96,38893
715,55,172143,0.41,7590
669,37,199354,0.95,43980
563,20,111725,0.82,43368
617,68,78445,0.48,33050
383,19,102208,0.67,3921
617,35,126283,0.43,5734
410,61,105779,0.56,20757
550,27,23060,0.06,31328
682,22,145806,0.7,24138
306,26,33731,0.05,17037
758,19,97830,0.82,34604
383,51,135871,0.82,13094
507,55,40719,0.24,10028
689,48,198114,0.32,44517
613,27,69116,0.48,16432
321,67,46325,0.6,44819
709,29,173669,0.29,24091
814,53,34551,0.59,16586
426,38,113287,0.3,6312
313,66,44278,0.06,26973
311,64,35141,0,37590
386,23,87913,0.1,29973
823,65,53615,0.79,45390
836,66,142058,0.96,17099
600,20,132684,0.43,34843
542,27,47452,0.51,15063
421,22,173797,0.15,29770
446,63,70391,0.55,28216
655,43,140288,0.14,28660
608,38,133535,0.61,17383
587,62,162770,0.93,10605
606,43,106711,0.2,31649
848,55,97850,0.76,38220
651,61,129733,0.02,33559
611,43,22365,0.38,46066
358,25,117662,0.11,13368
334,22,63372,0.35,8428
744,32,64134,0.17,16817
392,33,57823,0.37,3420
506,18,91158,0.42,19912
652,33,116076,0.3,5317
631,54,153021,0.66,25361
458,20,69396,0.92,28728
323,69,128336,0.4,42180
703,64,51912,0.19,32068
815,48,76947,0.27,33995
663,30,64387,0.85,19721
681,33,36508,0.57,29964
831,60,65592,0.46,32529
451,38,129249,0.15,12456
719,19,21919,0.45,34723
549,44,62595,0.28,43240
416,55,160689,0.94,35746
811,43,53298,0.88,18913
634,55,158001,0.08,13675
717,63,34456,0.52,33141
594,42,129599,0.23,27989
670,28,106676,0.41,17128
485,25,103721,0.88,49436
545,25,57924,0.53,41213
567,50,44240,0.33,29111
536,24,107381,0.21,5284
829,55,29228,0.8,26493
320,38,41686,0.62,18585
819,25,31920,0.47,30595
399,68,27432,0.22,8131
777,38,130507,0.33,44382
597,37,150509,0.96,27197
825,25,91725,0.52,34527
633,63,184982,0.4,22957
301,48,141764,0.52,31936
674,67,181298,0.78,22545
592,46,79099,0.34,14684
617,65,132557,0.18,43448
801,26,106760,0.58,21642
680,32,38013,0.67,5371
313,47,41446,0.71,13651
803,43,125209,0.88,2665
530,27,122261,0.37,7918
383,46,115739,0.08,24007
429,33,20557,0.96,32408
444,53,181738,0.44,11194
327,37,188461,0.62,26035
365,62,198772,0.67,24816
462,54,150878,0.55,24066
528,39,119143,0.21,12213
560,24,44578,0.76,49513
748,40,94779,0.8,23612
723,58,160668,0.55,23211
759,57,77500,0.49,27866
600,46,92534,0.11,41404
602,33,30129,0.08,32599
586,55,31596,0.34,8344
694,45,85355,0.31,4201
309,65,32974,0.95,5752
569,55,132004,0.78,43343
660,48,146794,0.66,11327
556,31,90202,0.52,49659
432,50,94442,0.17,46797
575,26,172890,0.98,7091
812,44,194318,0.38,28608
612,41,75598,0.11,29285
583,30,153726,0.49,23998
420,43,53758,0.87,49634
406,46,44204,0.89,41289
503,68,147309,0.01,23943
464,66,186000,0.89,49178
604,60,50552,0.27,19007
796,45,161408,0.04,26257
455,45,67037,0.85,20518
666,25,167278,0.86,30784
550,40,54831,0.6,39588
633,46,63563,0.57,45221
810,22,38361,0.81,22378
592,59,61335,0.79,5696
319,24,94469,0.89,28995
581,59,45816,0.55,35635
300,53,166691,0.97,16723
418,58,112479,1,20207
334,44,46819,0.12,28524
497,63,162813,0.85,29554
784,19,142330,0.5,12817
358,42,28798,0.39,1168
460,26,176215,0.61,43981
505,44,69695,0.06,27770
311,18,183819,0.51,16223
789,40,149544,0.87,45220
575,27,172254,0.21,9027
541,59,29415,0.43,17291
515,69,162157,0.94,44409
550,42,166080,0.43,26439
425,20,107638,0.36,22521
516,23,38452,0.44,25715
605,23,159192,0.52,22618
484,19,130205,0.63,29999
338,35,38170,0.8,33992
522,40,36259,0.45,42517
483,19,42099,0.82,40350
794,29,160721,0.53,2573
726,39,149394,0.34,9577
477,54,79258,0.66,9712
727,37,192109,0.72,30948
593,56,31805,0.56,40531
450,41,63147,0.06,13164
683,65,94280,0.17,6217
607,37,197125,0.29,20526
635,18,126777,0.28,32270
674,18,117841,0.67,27409
307,34,144726,0.02,13734
640,18,148359,0.76,45121
428,69,96215,0.27,37269
651,62,132909,0.31,14530
657,47,115365,0.53,13394
816,58,30985,0.22,2499
794,64,32391,0.88,28539
385,20,24861,0.09,10669
474,63,54364,0.44,29562
492,28,102399,0.85,22629
610,41,62923,0.62,26746
418,39,158991,0.29,44287
517,61,105818,0.42,47007
726,62,198468,0.71,19128
713,43,185912,0.97,3039
413,30,193327,0.89,42079
444,18,91160,0.34,4857
837,41,148165,1,26896
602,27,159248,0,5950
644,52,53529,0.03,24471
300,41,164013,0.82,16441
446,45,21669,0.2,13735
586,53,137373,0.06,23415
352,33,64859,0.24,35511
603,57,75786,0.43,47051
368,33,191148,0.73,43406
660,34,40323,0.62,4616
519,68,26021,0.24,16383
460,32,59807,0.5,30756
388,33,148305,0.93,4894
458,32,70355,0.82,39995
788,51,133415,0.32,44232
623,28,195804,0.98,41615
680,18,28711,0.71,5281
401,32,27904,0.06,25647
793,43,84033,0.04,31036
318,68,106478,0.17,19584
753,21,140035,0.73,35911
781,60,23093,0.18,33308
696,22,44918,0.51,48548
578,52,160466,0.09,29333
664,30,144501,0.92,36949
630,27,112510,0.34,20259
643,28,113708,0.91,32794
754,35,117819,0.94,40288
364,51,164352,0.01,14052
375,56,56303,0.46,13271
442,58,47453,0.02,46267
772,59,128886,0.91,33175
716,67,80695,0.52,9915
604,40,176837,0.07,17122
796,24,153412,0.11,45199
590,56,58057,0.38,7918
401,20,151669,0.94,41916
566,29,114655,0.69,31437
302,24,35025,0.87,46806
384,66,27145,0.37,14805
627,43,121206,0.04,20598
749,50,61723,0.97,41517
753,54,93230,0.02,3871
520,65,155902,0.95,38257
453,32,175002,0.37,38375
311,19,174824,0.01,46741
432,58,128138,0.69,45879
603,24,82040,0.98,24148
592,49,128668,0.97,6834
599,21,75030,0.16,43680
342,37,76815,0.18,4399
642,67,132789,0.57,22762
625,53,186762,0.64,41372
797,49,77923,0.74,11957
663,45,187644,0.18,41499
726,30,87904,0.96,29340
320,18,180275,0.64,28138
706,52,97088,0.85,16808
635,65,25608,0.54,29243
416,47,65667,0.41,3261
423,53,75547,0.98,12809
698,42,173557,0.58,18696
350,33,160934,0.87,43824
623,36,148391,0.95,22891
440,18,95948,0.68,20125
769,22,91880,0.55,1997
633,68,77560,0,48923
672,39,135063,0.04,7353
793,41,114218,0.2,19703
838,60,134462,0.19,36975
455,62,179487,0.25,10275
590,69,170395,0.3,20965
443,54,37997,0.36,33419
405,53,141266,0.42,49642
719,53,23679,0.1,36854
301,21,60308,0.04,16973
389,53,190914,0.67,24550
644,69,25695,0.54,27878
649,35,78499,0.44,18105
758,67,43382,0.63,48638
562,33,34235,0.83,34922
650,58,153438,0.43,17029
407,35,178539,0.64,40935
338,39,132468,0.95,33784
458,19,26764,0.84,32601
611,38,133831,0.43,40865
540,53,81836,0.64,32545
744,61,51923,0.18,14165
597,56,115711,0.56,19616
335,64,36292,0.98,12654
383,56,144913,0.52,18830
751,46,152686,0.93,17205
684,43,40939,0.41,43425
471,38,38800,1,12959
675,34,76440,0.58,23158
661,33,174318,0.04,12819
440,48,147521,0.59,36851
417,68,141327,0.27,43503
576,26,69648,0.03,7952
519,48,135192,0.82,25225
325,31,182760,0.28,48405
820,66,113498,0.8,43231
309,54,49764,0.29,6391
677,19,52470,0.19,15468
451,69,189573,0.97,16091
348,65,77207,0.36,31237
453,63,82157,0.6,48732
592,31,154288,0.61,9964
349,50,173144,0.56,41682
830,52,113778,0.91,48244
359,56,150016,0.67,27968
466,64,144288,0.4,41205
501,68,188204,0.86,12371
445,37,130573,0.18,43541
738,19,140730,0.54,26681
541,68,168933,0.95,29285
782,58,84186,0.63,38971
407,36,24960,0.82,16430
525,54,38781,0.65,46230
731,35,51126,0.84,10033
718,33,173650,0.94,20918
754,21,126034,0.27,19256
459,29,37883,0.17,49522
822,46,49782,0.48,32188
376,24,76387,0.7,37088
808,31,168051,0.23,15979
740,29,53746,0,3728
553,52,86266,0.34,2595
619,22,20056,0.97,33624
562,34,51457,0.69,32568
673,59,153315,0.4,3288
466,49,152773,0.19,40613
758,27,93839,0.36,41431
579,60,100636,0.17,30011
601,34,127697,0.11,18127
830,22,86483,0.91,18878
517,62,40505,1,7944
401,59,157625,0.16,13302
587,26,53525,0.05,43948
466,66,116008,0.33,1207
335,50,64348,0.46,2083
652,53,27273,0.2,4311
372,53,84236,0.3,24135
652,35,154607,0.2,42356
369,26,169749,0.77,32219
724,46,127157,0.71,17592
816,67,20908,0.63,47212
727,31,128352,0.39,24932
838,42,115967,0.91,20040
459,32,108989,0.97,6850
448,23,55079,0.17,32716
529,59,131889,0.22,13719
366,46,69323,0.53,22777
680,32,196392,0.09,18022
357,46,109909,0.44,34996
558,21,66105,0.58,28945
641,35,181236,0.52,29788
429,67,152957,0.33,5019
471,66,21049,0.54,10482
508,61,73281,0.96,47873
653,56,63271,0.21,19580
770,33,86697,0.65,10895
415,28,56534,0.04,15135
563,31,113034,0.07,11387
741,20,78097,0.55,30136
847,68,45037,0.1,18359
752,67,187079,0.02,48672
776,59,47278,0.17,7121
586,55,159344,0.56,34796
602,62,119173,0.7,17909
610,59,58294,0.2,3327
507,35,93277,0.67,19930
745,37,24694,0.18,36251
354,65,78150,0.61,36502
311,42,87470,0.41,32547
699,55,41556,0.65,32688
814,30,69086,1,43498
841,21,169979,0.94,43870
536,31,199559,0,8304
578,50,180230,0.89,5049
647,45,171365,0.07,15947
403,69,196833,0.95,10495
816,54,119468,0.28,25707
547,25,53387,0.38,34160
663,61,191822,0.09,45544
620,51,88602,0.11,44635
585,61,172328,0.73,31706
448,22,156666,0.94,36234
383,22,22460,0.61,34993
705,48,92356,0.72,15987
755,62,74698,0.76,20089
460,26,121746,0.26,1461
759,59,36191,0.05,10993
849,49,104631,0,12465
799,50,30529,0.35,17535
808,20,52175,0.24,33640
780,47,37675,0.06,11461
413,67,194230,0.18,13366
660,29,66798,0.12,30895
640,46,90910,0.91,2785
748,20,150400,0.14,7242
479,43,177048,0.54,25529
706,47,98678,0.59,48080
495,26,82821,0.54,7356
765,43,32204,0.1,24229
610,19,27394,0.32,20844
561,20,84814,0.05,19220
718,63,53593,0.4,43357
705,21,193036,0.19,26651
442,42,135064,0.56,32686
641,68,73365,0.69,23127
615,30,151515,0.53,23662
400,56,179252,0.43,35261
543,61,199863,0.39,26360
789,52,194737,0.84,38931
311,40,123700,0.22,43380
538,26,117077,0.73,15297
341,19,154537,0.76,39472
728,58,88247,0.42,23788
457,61,176270,0.3,40456
515,48,74740,0.47,28011
761,61,173560,0.09,49603
433,64,189587,0.05,29057
366,19,47898,0.11,19447
306,49,152991,0.19,19404
825,35,82613,0.5,22141
372,30,116707,0.85,23307
698,63,131777,0.24,11341
704,22,67003,0.94,41121
429,59,68478,0.95,10142
765,61,165506,0.96,49034
505,27,197318,0.84,41984
565,60,187721,0.36,16932
836,42,79030,0.07,13017
552,51,153071,0.57,34337
588,54,165921,0.56,38880
463,47,72800,0.85,2355
394,24,25445,1,41824
409,23,169112,0.51,17086
635,20,20246,0.35,22515
537,30,51153,0.19,15220
680,20,25212,0,48266
735,43,154411,0.51,34602
782,41,76238,0.56,12308
324,23,170466,0.82,1969
416,60,73871,0.5,34360
781,66,120672,0.92,1254
691,59,54607,0.63,11306
836,29,72055,0.84,28541
378,66,124509,0.15,3661
472,53,155467,0.86,16309
311,19,147378,0.68,42562
427,28,166362,0.17,19223
391,56,107687,0.19,6905
842,51,85078,0.93,3431
831,43,154763,0.03,8756
746,35,158542,0.46,6353
689,38,154913,0.31,2737
342,53,122652,0.67,17868
553,57,83197,0.84,33476
429,69,75773,0.36,25325
359,63,168848,0.43,13326
766,61,138943,0.98,25586
586,39,47584,0.78,13911
816,47,155372,0.9,30080
766,67,23338,0.44,23635
644,60,82601,0.23,6213
681,47,156559,0.41,39995
552,25,56282,0.72,28940
355,51,135447,0.11,45047
762,64,115798,0.27,49604
756,26,150963,0.05,24365
382,68,128611,0.43,9796
398,37,179876,0.83,18352
448,57,160987,0.02,17820
628,42,31158,0.68,11966
455,36,30547,0.93,47735
489,22,108713,0.24,2809
793,28,22459,0.69,40314
562,32,179840,0.98,41875
379,25,83146,0.96,6505
699,36,123577,0.23,31649
559,40,127761,0.1,6257
400,44,123727,0.15,16051
658,57,70460,0.7,5909
679,49,102970,0.73,28345
520,43,189319,0.67,15866
719,44,35419,0.34,43789
423,36,55577,0.17,25868
721,67,22921,0.58,49126
530,59,155748,0.48,29527
362,46,164535,0.73,1461
784,56,176546,0.44,29460
782,58,60935,0.34,49500
818,50,145534,0.29,4233
454,36,92828,0.21,13128
391,54,143649,0.27,6202
825,36,109062,0.09,36707
754,50,75152,0.35,32258
809,64,116491,0.04,48965
482,33,106569,0.19,32238
685,40,92467,0.75,14722
704,24,176844,0.33,46766
545,43,167435,0.67,19047
770,49,179562,0.72,4301
722,29,142537,0.58,33544
364,25,73806,0.96,32583
312,22,151332,0.02,28513
512,59,95992,0.74,16640
541,45,42320,0.96,23413
792,22,98971,0.86,17805
512,66,193217,0.17,21133
637,43,68581,0.33,49899
472,22,113645,0.17,22355
463,39,40754,0.6,24229
764,32,89837,0.71,5433
796,30,158279,0.32,34033
694,45,178992,0.54,36618
607,50,143746,0.69,2378
482,60,134780,0.42,7503
809,40,107081,0.85,40925
845,50,44016,0.77,43774
526,60,80522,0.06,34617
735,35,140896,0.62,5814
721,67,132099,0.24,24763
320,47,171174,0.56,11000
696,43,124429,0.96,16288
404,33,21924,0.88,4274
491,30,105015,0.4,15227
316,56,124987,0.29,18279
419,50,74333,0.23,10368
692,43,197171,0.53,45713
724,65,146372,0.11,43736
428,18,151378,0.55,32006
429,66,108495,0,28380
328,55,89767,0.32,28968
396,19,124332,0.22,10651
309,66,163279,0.97,14903
541,23,59426,0.73,19927
531,63,26336,0.35,8771
583,67,132200,0.09,14460
499,55,37256,0.52,5637
378,59,53719,0.21,46690
472,41,62017,0.54,41834
766,35,65704,0.84,4553
715,44,50013,0.62,35117
748,58,99991,0.63,36754
386,25,90258,0.54,24580
400,45,98348,0.93,12522
307,27,187848,0.93,35890
499,34,30060,0.51,29204
804,46,157727,0.31,14892
386,23,69923,0.46,9689
342,31,98563,0.19,29063
684,39,155102,0.64,15062
734,23,109779,0.5,2363
707,43,184361,0.1,17691
782,56,170811,0.2,3751
316,29,119704,0.48,8782
447,52,149157,0.89,18648
576,31,130234,0.57,13540
531,39,81687,0.68,46991
665,68,56491,0.34,6339
527,40,92115,0.57,28020
735,65,137935,0.45,28609
698,24,103778,0.66,6848
510,57,155853,0.05,17877
690,67,40448,0.49,19405
798,42,71550,0.3,49629
839,30,69294,0.33,47233
790,38,41446,0.96,22471
741,58,96579,0.18,4302
560,27,134679,0.31,15437
649,26,105615,0.51,48930
651,32,37101,0.86,15512
819,69,48016,0.42,33436
619,19,170004,0.74,24511
437,42,195725,0.86,6022
849,30,110481,0.31,44239
667,51,72802,0.39,7155
519,68,27549,0.36,32480
636,51,176434,0.83,39022
522,52,67842,0.04,26332
659,55,66539,0.31,5354
628,20,53717,0.68,32847
762,59,174088,0.57,36284
681,23,135042,0.44,49640
468,65,147922,0.54,11156
516,66,112447,0.2,23453
677,36,103402,0.43,33689
418,20,62607,0.5,24758
489,35,178693,0.9,9838
669,56,32823,0.26,46502
448,26,49986,0.87,44790
787,69,141682,0.64,38976
673,29,84325,0.02,14725
459,22,147925,0.72,10337
650,20,77771,0.04,11701
587,28,74973,1,30811
587,47,165762,0.87,44043
525,21,59107,0.3,39978
822,22,77888,0.26,30316
821,18,30956,0.38,12544
572,44,106839,0.36,22514
701,45,187605,0.37,17327
482,46,121131,0.32,47809
787,35,87594,0.62,17705
423,29,31519,0.16,11479
713,30,182187,0.85,12323
471,58,21832,0.81,13937
587,19,192440,0.48,24089
734,54,133922,0.85,2702
412,62,125474,0.25,11404
421,33,89715,0.02,34598
843,65,91835,0.62,9380
521,41,93366,0.46,22990
338,52,57570,0.57,33859
796,39,157687,0.9,4877
532,53,58311,0.97,43871
829,28,110245,0.63,19720
448,63,123187,0.76,8676
696,46,43434,0.08,32818
601,52,106879,0.16,35348
659,65,35739,0.73,49555
537,32,86202,0.43,43368
535,48,118580,0.45,49180
502,59,99599,0.31,25130
555,58,184721,0.61,34241
534,60,198517,0.19,45392
644,33,136770,0.63,27620
833,27,59470,0.17,18077
765,66,94965,0.06,13663
840,49,145332,0.33,18799
512,68,199693,0.23,48285
762,19,149681,0.89,18619
735,41,183998,0.05,4967
582,40,134300,0.18,28488
762,19,57997,0.55,14211
706,55,191796,0.48,22169
387,48,117805,0.05,31373
343,68,182776,0.01,33669
760,57,142202,0.99,7634
577,43,179463,0.66,1840
720,46,22526,0.37,35229
652,20,175758,0.47,22318
814,31,93339,0.27,16405
318,42,26574,0.34,48771
322,65,28733,0.65,37240
712,18,70290,0.88,16847
329,20,92793,0.18,24547
